hotel_id,hotel_brand,book_date,check_in,check_out,star_rating,price
PMvwpgna7CtZ0T6qQXTWg8t5e3cpBuvTmi03fyml74g=,4,5/29/2022,1/8/2023,1/12/2023,,751.8
cS/i74U58EtWvS1Ngdt9H5AZSJmSUhEuHQcSGVNC3Xs=,4,6/9/2022,1/18/2023,1/26/2023,,3084.84
jUkLQRjbZVTB9SLYEb6sTGBakGGzelEPJt2RbGtTk+I=,3,5/30/2022,1/7/2023,1/12/2023,,4209.89
JX8BO6EgCtMipXf8DFNIxl3N1H9PtlGEZpAykhuehmw=,5,5/31/2022,1/6/2023,1/7/2023,2.5,80.55
4kzGFcSnNKHV5EUXsGykjPK/vKowpQ+70FcYU+3uIqA=,1,6/2/2022,1/24/2023,2/7/2023,3,344.72
wcj0PzmGg2uPc5OFjuCAe8lak0qCTuFxTjxWNOLvXD0=,5,3/9/2022,1/26/2023,1/30/2023,3.5,1239.34
X903MP1ZSJso3LX6vWQ9DuH+hUFb3NPh2FTRFURfYZA=,5,3/16/2022,1/24/2023,1/30/2023,,8011.65
HPWY2oSERLmItWcbRsMmnYAv9Nwp7cw37auq5hsO4PQ=,3,5/28/2022,1/10/2023,1/19/2023,,970.72
tGzogXYAOfv8bp3Z0fwSLKJfbIDKUANaETmx8Wf2tRM=,5,6/7/2022,1/18/2023,1/21/2023,,635.84
br4E0wHncDqDe1D7mE+v1cS3FPX1zb/OfnpD/PUE8/Y=,3,11/9/2022,1/9/2023,1/11/2023,3,466.6
IXxaKz0H58l0I6up68M+Sc201lXzfEBIVRcv/EGP94c=,5,11/11/2022,1/11/2023,1/12/2023,3,551.79
ngAyeCNNtlP7j0Y9WaMWWGl+bOX7FD2ps8iekKXWh5k=,2,11/1/2022,1/26/2023,1/27/2023,2.5,103.61
dqxZ45803dG5YSvAXrSPtut4P6UZhIR9upIqvrc81cg=,5,11/12/2022,1/13/2023,1/14/2023,4.5,215.52
FcFzBOjHmsCL3MeqafpBgptruInDLY9ow6uW47nhCX0=,1,11/5/2022,1/18/2023,1/21/2023,2.5,265.97
EvuzzRUY7QFaZgWI1aKaHc1GcOJ3M6RqehfZJIpcXAs=,5,11/2/2022,1/5/2023,1/6/2023,,306.57
lG/5ISJ+4aiG/8JbTdJzhfqVr14ej+KIAN5Q2xMF7z0=,5,11/5/2022,1/11/2023,1/13/2023,3.5,169.56
lG/5ISJ+4aiG/8JbTdJzhfqVr14ej+KIAN5Q2xMF7z0=,5,11/3/2022,1/11/2023,1/13/2023,2.5,347.84
Ye9lBBbpXyGmaDj0Hu1KiydjPbHlecPBcruusw+IXIU=,5,11/13/2022,1/18/2023,1/20/2023,,515.92
pgJZxO/gzDKUMT2Wa33eT8oKQVipikjDupOb2eRKyQA=,1,11/7/2022,1/18/2023,1/21/2023,3.5,942.52
bk0cyL6pbK8OfQZ/ov5W5wilLiTo1YMxRHJoNF3uRTw=,1,11/9/2022,1/18/2023,1/20/2023,4.5,238.83
mafWUs/Jzfyoru+DnOUDFheRf2qwgdQgkfrXz74DsB4=,3,11/1/2022,1/2/2023,1/3/2023,4.5,285.3
6Z+MSR8tbF7TBYAXWW5lFdRAxs1DemAJQFJ4r2rQ4H8=,5,11/9/2022,1/24/2023,1/31/2023,4,1553.51
